nzd_name,orientation,coordinate,location,y,x,quadrant,p-value,Max_lag,Max_Correlation
nzd0002,355.52,"-34.429002,172.946715",N,-34.429002,172.946715,4,0.014859344730594325,3.0,-0.21003515443115484
nzd0006,95.1,"-34.460544,172.999415",N,-34.460544,172.999415,2,0.001259919586209998,3.0,-0.2626468385927293
nzd0011,232.4,"-34.714696,172.929167",W,-34.714696,172.929167,3,0.1599135825874544,2.0,0.12163580029932698
nzd0019,330.08,"-34.804460,173.394798",N,-34.80446,173.394798,4,6.86510292659831e-05,3.0,-0.26050769194544626
nzd0025,234.93,"-34.828244,173.028933",W,-34.828244,173.028933,3,0.05943967645800834,0.0,0.15692162989055286
nzd0029,14.44,"-34.875018,173.202629",N,-34.875018,173.202629,1,0.00683349306457516,3.0,-0.2675478750577808
nzd0036,330.03,"-34.963229,173.677262",N,-34.963229,173.677262,4,0.00040982802910504866,3.0,-0.22181034211374007
nzd0046,251.25,"-35.020317,173.164765",W,-35.020317,173.164765,3,9.699031174944565e-05,0.0,0.32455887266876104
nzd0053,104.04,"-35.033276,173.909632",N,-35.033276,173.909632,2,0.00010059428841321885,3.0,-0.24788992223493214
nzd0054,267.93,"-35.082333,173.180023",W,-35.082333,173.180023,3,5.977265113440018e-06,0.0,0.3624713020036068
nzd0059,235.0,"-35.152967,173.163400",W,-35.152967,173.1634,3,0.006758848505634357,3.0,-0.23645626299982372
nzd0070,232.56,"-35.411860,173.260164",W,-35.41186,173.260164,3,0.011221109786975698,0.0,0.16877470341982984
nzd0075,112.46,"-35.435482,174.425048",N,-35.435482,174.425048,2,0.089728794555591,0.0,-0.12060540243494351
nzd0090,20.4,"-35.563843,174.489134",N,-35.563843,174.489134,1,0.011488070112431987,2.0,-0.18596815137654515
nzd0100,62.1,"-35.820410,174.557552",N,-35.82041,174.557552,1,0.020334281000446992,1.0,-0.17889048997681883
nzd0106,69.89,"-35.983841,174.474238",N,-35.983841,174.474238,1,0.1465930126055643,0.0,0.12244491229805246
nzd0115,240.4,"-36.115880,173.890577",W,-36.11588,173.890577,3,0.000874633092513768,0.0,0.2716302845251301
nzd0119,49.92,"-36.212040,174.699727",N,-36.21204,174.699727,1,0.007864044392670357,3.0,-0.18515673759388546
nzd0121,250.31,"-36.289352,174.008503",W,-36.289352,174.008503,3,0.12356708687922291,0.0,0.13318701065494257
nzd0161,238.91,"-36.685865,174.334589",W,-36.685865,174.334589,3,6.218412719130588e-06,2.0,0.32041195900436426
nzd0191,96.52,"-37.087958,175.883102",N,-37.084162,175.883443,2,0.06863203540141492,0.0,0.11558523668333609
nzd0205,245.66,"-37.489125,174.738749",W,-37.489125,174.738749,3,1.9481441089937958e-06,2.0,0.29858732724538173
nzd0215,40.18,"-37.665481,178.506463",N,-37.665481,178.506463,1,0.05283828207802313,0.0,0.1357698336930574
nzd0231,19.31,"-37.901067,176.837798",N,-37.901067,176.837798,1,0.01858631924239499,1.0,-0.15858604260080106
nzd0236,338.24,"-37.932388,177.506280",N,-37.932388,177.50628,4,0.5373007116442642,3.0,0.03857954698621918
nzd0232,251.76,"-37.901906,174.772844",W,-37.901906,174.772844,3,0.007333247338288609,2.0,0.19601434149404995
nzd0240,355.21,"-37.991170,177.334113",N,-37.99117,177.334113,4,0.009987492500485333,2.0,-0.1586077819521242
nzd0242,112.55,"-38.003452,178.336959",E,-38.003452,178.336959,2,0.0015028392732717754,0.0,0.21821613084116281
nzd0251,12.09,"-38.252944,178.323944",E,-38.252944,178.323944,1,0.19246346413137602,0.0,0.0872085067200862
nzd0254,109.27,"-38.308032,178.322004",E,-38.308032,178.322004,2,0.008173828213685716,0.0,0.17912114293070622
nzd0257,291.14,"-38.373922,174.664813",W,-38.373922,174.664813,4,0.17967972785685674,0.0,0.10017385328605427
nzd0263,105.71,"-38.565705,178.228058",E,-38.565705,178.228058,2,0.014748178556855498,0.0,0.16167555485438026
nzd0266,274.03,"-38.596155,174.632046",W,-38.596155,174.632046,4,0.7731891719495948,1.0,0.020989325697769387
nzd0273,281.44,"-38.791640,174.596652",W,-38.79164,174.596652,4,0.4055555074546385,3.0,-0.05898320951338574
nzd0275,104.74,"-38.802263,177.918341",E,-38.802263,177.918341,2,0.005534969116228911,0.0,0.18947031460916278
nzd0277,310.72,"-39.007556,174.174006",W,-39.007556,174.174006,4,6.626547767595161e-06,1.0,-0.2742956919473809
nzd0279,82.04,"-39.036133,177.884430",E,-39.036133,177.88443,1,0.0003830587410446845,3.0,-0.2445672713238238
nzd0286,74.62,"-39.182892,177.920762",E,-39.182892,177.920762,1,0.12598981439343462,0.0,0.10828330324698532
nzd0295,123.88,"-39.716367,177.022420",E,-39.716367,177.02242,2,3.1926228116445395e-06,0.0,0.28217352437460813
nzd0299,199.78,"-39.857357,174.806918",W,-39.857124,174.806073,3,0.1172500373371817,3.0,-0.11749706173788683
nzd0305,92.35,"-40.050120,176.875841",E,-40.05012,176.875841,2,8.999335946474169e-07,0.0,0.2963577719972168
nzd0315,279.08,"-40.521342,175.205215",W,-40.521342,175.205215,4,1.1301697553839953e-06,0.0,0.3138327764599602
nzd0321,294.62,"-40.793391,175.085263",W,-40.793391,175.085263,4,2.718515884351134e-10,0.0,0.4171731538508344
nzd0324,106.51,"-40.886570,176.215881",E,-40.88657,176.215881,2,0.10525391152017088,3.0,-0.10290203055316369
nzd0332,289.1,"-40.959957,174.970738",W,-40.959957,174.970738,4,2.0625809379649807e-07,0.0,0.3350645228685173
nzd0343,118.76,"-41.137874,176.044767",E,-41.137874,176.044767,2,0.016091267229143294,0.0,0.15821792934168954
nzd0348,149.61,"-41.270162,175.884555",E,-41.270162,175.884555,2,0.020342320705567782,0.0,0.16195309415662568
