t,coastal
1,5.52234507515751
2,4.598397597942118
3,3.6744501207267257
4,2.83991691549992
5,2.9652543424084516
6,3.086548626513482
7,3.2118860534220137
8,3.3331803375270446
9,3.458517764435576
10,3.5838551913441075
11,3.7051494754491383
12,3.83048690235767
13,4.404386219113808
14,4.99741551309515
15,4.490687771897628
16,4.032998199203092
17,3.52627045800557
18,4.707146221187497
19,5.92738450980882
20,4.239341137296204
21,2.4950296523665
22,-1.73691998386915
23,-2.2962252452233907
24,-2.8741740152894395
25,-3.43347927664368
26,-5.52175991260418
27,-5.44738568414399
28,-4.433084525864811
29,-3.3101082434842914
30,-2.2233570024708853
31,-1.1003807200903655
32,-0.013629479076959328
33,1.10934680330356
34,0.5194263790137629
35,-0.05146435416991202
36,-0.641384778459709
37,-0.5645580033628013
38,-0.4851703357626632
39,-0.4057826681625253
40,-0.3315167855688478
41,-0.2521291179687098
42,-0.175302342871802
43,1.46467564216199
44,6.11915974665168
45,7.314605818356661
46,8.510051890061641
47,9.66693518526001
48,7.365901253244084
49,5.139094222260931
50,2.8380602902450054
51,0.53702635822908
52,2.89798177057489
53,1.9311741251091
54,4.05062672175897
55,5.46023918780651
56,6.82438028398155
57,6.20045701035918
58,5.57653373673681
59,3.977159513370151
60,2.32447281589127
61,2.309602328332358
62,2.2942361578548156
63,2.2788699873772735
64,2.2649908656556224
65,2.24962469517808
66,5.58810643286211
67,4.87995187965678
68,4.96869855302994
69,3.69519662490846
70,2.42169469678698
71,2.249519044382244
72,2.0716042035640165
73,1.89942855115928
74,0.669289831215007
75,-0.168009610997333
76,0.2840863713460823
77,0.7846212089405779
78,1.26900976145138
79,1.5605152958544937
80,1.842617425922023
81,2.1341229603251364
82,2.42562849472825
83,0.8675835130835599
84,-0.74239630128262
85,-2.30044128292731
86,-3.91042109729349
87,-5.52040091165967
88,-5.161557500965925
89,-4.777966268845025
90,-4.406748947437702
91,-4.0231577153168026
92,-3.65194039390948
93,-3.26834916178858
94,-4.25666761695745
95,-5.213104831637001
96,-6.20142328680587
97,-2.49181493412667
98,-3.00434348631617
99,-2.3486036418224003
100,-1.75632249195706
101,-0.7531985791043796
102,0.217566497849827
103,1.86668814915375
104,4.82889078453657
105,2.36589938319492
106,3.31573451607973
107,2.50486070935371
108,1.666957775736822
109,0.8560839690108013
110,0.018181035393913803
111,-0.8197218982229737
112,-1.57653745116726
113,-1.091732635063044
114,-0.622566683994448
115,-0.20967299664515981
116,0.18990153949931265
117,0.6027952268486009
118,1.0156889141978893
119,1.4152634503423616
120,1.82815713769165
121,4.607980946535767
122,7.48046554900802
123,8.334503407040929
124,9.10589244010291
125,7.20814683314268
126,5.79644426388167
127,5.21874478074337
128,4.65968076480308
129,3.13418785413358
130,1.60869494346408
131,0.6228644788980086
132,-0.3958270011535987
133,-1.38165746571967
134,-2.4003489457712774
135,-3.4190404258228844
136,-4.37200987490342
137,-7.75753764831905
138,-7.034487107090141
139,-6.2873348811536
140,-3.55665684955721
141,-3.995483797832855
142,-4.4343107461085
143,0.247770461901793
144,-1.7353582620931094
145,-3.654515091765596
146,-5.637643815760498
147,-7.6207725397554
148,-4.14739184268871
149,-4.26833020488206
150,-4.06383221685017
151,-7.31423556409109
152,-4.60114129705977
153,-4.88327628565154
154,-5.16541127424331
155,-2.16450653338111
156,-8.79662176730131
157,-5.14130168357607
158,-7.34303162863562
159,-7.669024556469687
160,-7.963469781610133
161,-8.2894627094442
162,-4.90450652674411
163,-3.9887026340705525
164,-3.10244080245098
165,-7.85484798071822
166,-5.457854519415489
167,-3.1381834278322
168,-3.05541643505756
169,-2.97531934527565
170,0.407119399636346
171,-0.001169621860098169
172,-0.36994680256656387
173,-0.778235824063008
174,0.144820544161655
175,1.2899258544494603
176,2.39809228376024
177,1.4153319332345244
178,0.432571582708809
179,-0.5184868210257543
180,-1.50124717155147
181,-0.46268106205905446
182,0.610503917749775
183,0.7438449745511775
184,0.868583382526683
185,-1.69353761854465
186,-3.02554560057873
187,-3.136554783189386
188,-3.243983024425505
189,-3.354992207036161
190,-3.4660013896468165
191,-3.573429630882935
192,-3.6844388134935913
193,-3.79186705472971
194,-5.272003806497166
195,-6.752140558264622
196,-8.089038269538454
197,-9.56917502130591
198,-7.39128304902348
199,-6.0660333783331
200,-4.25629179424686
201,-2.38622549069108
202,-2.9344308143568383
203,-3.464952095323701
204,-4.01315741898946
205,-4.543678699956323
206,-5.0918840236220815
207,-5.64008934728784
208,-4.16459966743416
209,-6.5164251302408
210,-4.31946971569715
211,-2.3237490162536583
212,-0.392406403888989
213,-0.053579990334821026
214,0.285246423219347
215,6.21201557220188
216,4.685392400828463
217,3.208015138209027
218,1.68139196683561
219,2.52879912639972
220,6.14622816556123
221,4.71657362710164
222,5.24389772017116
223,1.23917802129024
224,-0.30562345354170595
225,-1.90191831086805
226,-3.2576056316905904
227,-4.5695611034543395
228,-5.92524842427688
229,-5.005578617601978
230,-4.05525315070458
231,-3.751608348439568
232,-3.46755353341746
233,-1.9928515329750298
234,-0.565720564804936
235,2.169250845074827
236,4.81599737076492
237,4.38591706711783
238,4.1148524789303735
239,3.8525319097167063
240,3.58146732152925
241,7.14271205483633
242,4.70763206646995
243,3.57620644314192
244,3.7329956068130623
245,3.90658360944897
246,7.34177012977262
247,9.04307926776794
248,12.9689703179336
249,10.8535604299722
250,11.0839976565359
251,13.8458415913787
252,6.90638048032514
253,7.900556152237519
254,8.927871013213645
255,9.95518587418977
256,11.859640225578849
257,13.9681432574739
258,16.133373044086
259,13.6650966272097
260,13.665979354250373
261,13.666891505525737
262,13.6678036568011
263,10.430070625933448
264,7.08441316070354
265,4.659253451557831
266,2.1532550854405983
267,-0.352743280676635
268,-6.50344186506459
269,-9.52705008897774
270,-12.4531225637324
271,-15.7368772090681
272,-15.0773091891684
273,-17.0286709799805
274,-14.5413208567356
275,-6.45572762943861
276,-8.44644004407428
277,-6.779480098823656
278,-5.05695482206468
279,-4.21733114811964
280,-1.60178930552784
281,-4.68242651920205
282,-5.82127569298689
283,-4.2219246477513215
284,-2.6741655717169
285,-3.06543400081973
286,-0.0752637105142186
287,0.9788808025906315
288,2.06816346613231
289,3.12230797923716
